name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,70,85,70,85,70,85,0.0,70,85,0.0,2026-01-24
চাল (মাঝারী)পাইজাম/আটাশ,প্রতি কেজি,58,68,58,68,58,68,0.0,60,65,0.8,2026-01-24
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,50,60,50,60,54,60,-3.508771929824561,54,58,-1.7857142857142856,2026-01-24
আটা সাদা (খোলা),প্রতি কেজি,44,50,44,50,45,50,-1.0526315789473684,40,45,10.588235294117649,2026-01-24
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,62,55,62,55,62,0.0,50,55,11.428571428571429,2026-01-24
ময়দা (খোলা),প্রতি কেজি,52,65,52,65,55,65,-2.5,55,60,1.7391304347826086,2026-01-24
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,75,65,75,65,75,0.0,65,70,3.7037037037037033,2026-01-24
সয়াবিন তেল (লুজ),প্রতি লিটার,175,185,175,185,172,185,0.8403361344537815,170,173,4.956268221574344,2026-01-24
সয়াবিন তেল (বোতল),৫ লিটার,920,955,920,965,920,965,-0.5305039787798408,850,852,10.164512338425382,2026-01-24
সয়াবিন তেল (বোতল),2 লিটার,390,395,380,395,378,395,1.552393272962484,345,350,12.949640287769784,2026-01-24
সয়াবিন তেল (বোতল),১ লিটার,190,195,190,198,189,198,-0.516795865633075,175,176,9.686609686609684,2026-01-24
পাম অয়েল (লুজ),প্রতি লিটার,148,162,152,162,152,162,-1.2738853503184715,155,158,-0.9584664536741214,2026-01-24
সুপার পাম অয়েল (লুজ),প্রতি লিটার,155,165,160,165,155,165,0.0,159,162,-0.3115264797507788,2026-01-24
রাইস ব্রান তেল (বোতল),৫ লিটার,1030,1080,1030,1080,1030,1080,0.0,1020,1060,1.4423076923076923,2026-01-24
মশুর ডাল (বড় দানা),প্রতি কেজি,80,105,80,105,90,100,-2.631578947368421,105,110,-13.953488372093023,2026-01-24
মশুর ডাল (মাঝারী দানা),প্রতি কেজি,110,120,110,120,115,140,-9.803921568627452,110,120,0.0,2026-01-24
মশুর ডাল (ছোট দানা),প্রতি কেজি,150,160,150,160,150,165,-1.5873015873015872,130,140,14.814814814814811,2026-01-24
মুগ ডাল (মানভেদে),প্রতি কেজি,120,180,120,180,140,180,-6.25,130,180,-3.225806451612903,2026-01-24
এ্যাংকর ডাল,প্রতি কেজি,50,65,50,65,50,75,-8.0,65,80,-20.689655172413797,2026-01-24
ছোলা (মানভেদে),প্রতি কেজি,80,95,80,95,90,100,-7.894736842105263,115,120,-25.53191489361702,2026-01-24
আলু (নতুন/পুরাতন),প্রতি কেজি,20,30,20,40,20,30,0.0,20,35,-9.090909090909092,2026-01-24
পিঁয়াজ (দেশী)(নতুন/পুরাতন),প্রতি কেজি,40,70,50,70,60,140,-45.0,45,60,4.761904761904762,2026-01-24
পিঁয়াজ (আমদানি),প্রতি কেজি,70,80,70,80,100,110,-28.57142857142857,50,70,25.0,2026-01-24
রসুন (দেশী),প্রতি কেজি,80,140,80,140,80,140,0.0,230,260,-55.10204081632652,2026-01-24
রসুন (আমদানি),প্রতি কেজি,160,200,160,200,160,200,0.0,220,240,-21.73913043478261,2026-01-24
শুকনা মরিচ (দেশী),প্রতি কেজি,200,320,200,320,200,320,0.0,250,300,-5.454545454545454,2026-01-24
শুকনা মরিচ (আমদানি),প্রতি কেজি,300,350,300,350,300,350,0.0,350,450,-18.75,2026-01-24
হলুদ (দেশী),প্রতি কেজি,300,400,300,400,300,400,0.0,320,350,4.477611940298507,2026-01-24
হলুদ (আমদানি),প্রতি কেজি,280,400,300,420,300,420,-5.555555555555555,250,300,23.63636363636364,2026-01-24
আদা (দেশী),প্রতি কেজি,140,200,140,200,150,200,-2.857142857142857,200,250,-24.444444444444443,2026-01-24
আদা (আমদানি),প্রতি কেজি,150,220,150,220,150,220,0.0,100,240,8.823529411764707,2026-01-24
জিরা,প্রতি কেজি,580,720,580,720,580,750,-2.255639097744361,675,800,-11.864406779661016,2026-01-24
দারুচিনি,প্রতি কেজি,480,600,480,600,480,600,0.0,500,700,-10.0,2026-01-24
লবঙ্গ,প্রতি কেজি,1350,1600,1350,1600,1350,1600,0.0,1400,1800,-7.8125,2026-01-24
এলাচ(ছোট),প্রতি কেজি,4500,5500,4500,5500,4500,5500,0.0,4400,5000,6.382978723404255,2026-01-24
ধনে,প্রতি কেজি,180,280,180,280,180,280,0.0,230,280,-9.803921568627452,2026-01-24
তেজপাতা,প্রতি কেজি,160,220,160,220,160,225,-1.2987012987012987,160,220,0.0,2026-01-24
রুই,প্রতি কেজি,300,450,300,450,300,450,0.0,250,450,7.142857142857142,2026-01-24
ইলিশ,প্রতি কেজি,1200,2500,1200,2500,800,1800,42.30769230769231,650,1600,64.44444444444444,2026-01-24
গরু,প্রতি কেজি,750,800,750,800,750,800,0.0,750,800,0.0,2026-01-24
খাসী,প্রতি কেজি,1000,1200,1000,1200,1000,1200,0.0,1050,1200,-2.2222222222222223,2026-01-24
মুরগী(ব্রয়লার),প্রতি কেজি,170,180,160,180,150,170,9.375,190,210,-12.5,2026-01-24
মুরগী (দেশী),প্রতি কেজি,550,650,550,650,550,650,0.0,480,600,11.11111111111111,2026-01-24
ডানো,১ কেজি,720,860,720,860,720,860,0.0,740,820,1.282051282051282,2026-01-24
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,850,920,850,920,850,920,0.0,800,840,7.926829268292683,2026-01-24
ফ্রেশ,১ কেজি,830,890,830,890,830,890,0.0,775,820,7.836990595611286,2026-01-24
মার্কস,১ কেজি,830,900,830,900,830,900,0.0,780,830,7.453416149068323,2026-01-24
